Date,Open,High,Low,Close,Close_Dolar
2023-03-14,103121.0,104153.0,102482.0,102932.0,5.245699882507324
2023-03-15,102930.0,103048.0,100692.0,102675.0,5.251699924468994
2023-03-16,102683.0,103911.0,102455.0,103435.0,5.287099838256836
2023-03-17,103434.0,103434.0,101664.0,101982.0,5.229599952697754
2023-03-20,101982.0,102328.0,100679.0,100923.0,5.2778000831604
2023-03-21,100923.0,101670.0,100923.0,100998.0,5.2357001304626465
2023-03-22,100998.0,101888.0,100129.0,100221.0,5.240900039672852
2023-03-23,100221.0,101126.0,96997.0,97926.0,5.236100196838379
2023-03-24,97926.0,99258.0,97688.0,98829.0,5.2967000007629395
2023-03-27,98833.0,99997.0,98833.0,99670.0,5.245100021362305
2023-03-28,99672.0,101559.0,99488.0,101185.0,5.1971001625061035
2023-03-29,101185.0,102213.0,100248.0,101793.0,5.164400100708008
2023-03-30,101796.0,104085.0,101796.0,103713.0,5.134200096130371
2023-03-31,103714.0,104041.0,101476.0,101882.0,5.092700004577637
2023-04-03,101883.0,101916.0,100651.0,101506.0,5.062300205230713
2023-04-04,101505.0,103056.0,101505.0,101869.0,5.0630998611450195
2023-04-05,101869.0,101960.0,99898.0,100978.0,5.070700168609619
2023-04-06,100978.0,101628.0,100443.0,100822.0,5.033199787139893
2023-04-10,100822.0,102196.0,100819.0,101847.0,5.0543999671936035
2023-04-11,101849.0,106455.0,101848.0,106214.0,5.065299987792969
2023-04-12,106218.0,108277.0,106217.0,106890.0,5.004000186920166
2023-04-13,106890.0,107037.0,106220.0,106458.0,4.916900157928467
2023-04-14,106458.0,106701.0,104934.0,106279.0,4.926700115203857
2023-04-17,106279.0,106830.0,105623.0,106016.0,4.908699989318848
2023-04-18,106023.0,106475.0,105122.0,106163.0,4.939799785614014
2023-04-19,106149.0,106149.0,103604.0,103913.0,4.984300136566162
2023-04-20,103913.0,104615.0,103087.0,104367.0,5.0742998123168945
2023-04-24,104367.0,104822.0,103247.0,103947.0,5.047900199890137
2023-04-25,103947.0,103947.0,102633.0,103220.0,5.033400058746338
2023-04-26,103220.0,103668.0,102233.0,102312.0,5.053100109100342
2023-04-27,102310.0,103177.0,101975.0,102923.0,5.043000221252441
2023-04-28,102923.0,104432.0,102449.0,104432.0,4.976200103759766
2023-05-02,104431.0,104447.0,101569.0,101927.0,4.9878997802734375
2023-05-03,101927.0,102331.0,101433.0,101797.0,5.038400173187256
2023-05-04,101798.0,103321.0,101063.0,102174.0,4.9944000244140625
2023-05-05,102175.0,105306.0,102175.0,105148.0,4.982600212097168
2023-05-08,105161.0,106716.0,105161.0,106042.0,4.951700210571289
2023-05-09,106028.0,107731.0,105549.0,107114.0,5.007999897003174
2023-05-10,107114.0,107744.0,106538.0,107448.0,4.985899925231934
2023-05-11,107446.0,108667.0,106419.0,108256.0,4.94290018081665
2023-05-12,108256.0,108817.0,107497.0,108464.0,4.929500102996826
2023-05-15,108469.0,109271.0,108356.0,109029.0,4.920199871063232
2023-05-16,109029.0,110151.0,108085.0,108194.0,4.887899875640869
2023-05-17,108194.0,109774.0,108188.0,109460.0,4.9394001960754395
2023-05-18,109459.0,110206.0,108864.0,110108.0,4.937699794769287
2023-05-19,110113.0,111211.0,109787.0,110745.0,4.964399814605713
2023-05-22,110745.0,111643.0,110178.0,110213.0,4.996799945831299
2023-05-23,110213.0,111325.0,109713.0,109929.0,4.966100215911865
2023-05-24,109920.0,109920.0,108546.0,108800.0,4.971199989318848
2023-05-25,108800.0,111115.0,108800.0,110054.0,4.958600044250488
2023-05-26,110058.0,111706.0,109900.0,110906.0,5.035200119018555
2023-05-29,110906.0,111168.0,110195.0,110333.0,4.992800235748291
2023-05-30,110333.0,111291.0,108552.0,108967.0,5.018099784851074
2023-05-31,108967.0,109137.0,108193.0,108335.0,5.034800052642822
2023-06-01,108339.0,110745.0,108335.0,110565.0,5.054800033569336
2023-06-02,110568.0,113070.0,110567.0,112558.0,5.0131001472473145
2023-06-05,112558.0,113071.0,111736.0,112696.0,4.956600189208984
2023-06-06,112697.0,114783.0,112696.0,114610.0,4.925600051879883
2023-06-07,114610.0,115978.0,114610.0,115488.0,4.9120001792907715
2023-06-09,115489.0,117603.0,115489.0,117019.0,4.922100067138672
2023-06-12,117022.0,117735.0,116704.0,117336.0,4.877900123596191
2023-06-13,117337.0,117924.0,116363.0,116743.0,4.860599994659424
2023-06-14,116753.0,119085.0,116745.0,119069.0,4.861000061035156
2023-06-15,119068.0,119686.0,118693.0,119221.0,4.815000057220459
2023-06-16,119208.0,119555.0,118487.0,118758.0,4.809199810028076
2023-06-19,118757.0,119939.0,118558.0,119858.0,4.807000160217285
2023-06-20,119858.0,119858.0,118416.0,119622.0,4.776899814605713
2023-06-21,119623.0,120519.0,119332.0,120420.0,4.789299964904785
2023-06-22,120420.0,120420.0,118018.0,118934.0,4.76230001449585
2023-06-23,118959.0,119386.0,118178.0,118977.0,4.7697367668151855
2023-06-26,118977.0,119148.0,117491.0,118243.0,4.7855000495910645
2023-06-27,118246.0,119212.0,116561.0,117523.0,4.767300128936768
2023-06-28,117524.0,117937.0,116560.0,116681.0,4.810500144958496
2023-06-29,116683.0,118623.0,116683.0,118383.0,4.850500106811523
2023-06-30,118388.0,119447.0,118087.0,118087.0,4.855599880218506
2023-07-03,118092.0,119877.0,118092.0,119673.0,4.784200191497803
2023-07-04,119673.0,119678.0,118830.0,119076.0,4.80649995803833
2023-07-05,119072.0,120200.0,118688.0,119549.0,4.839900016784668
2023-07-06,119548.0,119548.0,117096.0,117426.0,4.8471999168396
2023-07-07,117427.0,119549.0,117427.0,118898.0,4.918700218200684
2023-07-10,118897.0,118897.0,117814.0,117942.0,4.8709001541137695
2023-07-11,117942.0,117942.0,115704.0,117220.0,4.898200035095215
2023-07-12,117557.0,119156.0,117557.0,117666.0,4.851500034332275
2023-07-13,117671.0,119739.0,117668.0,119264.0,4.81689977645874
2023-07-14,119268.0,119329.0,117526.0,117711.0,4.7947998046875
2023-07-17,117711.0,118302.0,116591.0,118219.0,4.788099765777588
2023-07-18,118218.0,118732.0,117324.0,117841.0,4.805799961090088
2023-07-19,117842.0,118011.0,116660.0,117552.0,4.809299945831299
2023-07-20,117558.0,118290.0,117484.0,118083.0,4.789899826049805
2023-07-21,118090.0,120373.0,118086.0,120217.0,4.796899795532227
2023-07-24,120220.0,121772.0,120099.0,121342.0,4.777400016784668
2023-07-25,121344.0,123010.0,121344.0,122008.0,4.725500106811523
2023-07-26,122003.0,122747.0,121370.0,122560.0,4.748899936676025
2023-07-27,122560.0,122599.0,119825.0,119990.0,4.736199855804443
2023-07-28,120002.0,120660.0,119706.0,120187.0,4.741600036621094
2023-07-31,120188.0,122149.0,120188.0,121943.0,4.723299980163574
2023-08-01,121945.0,121945.0,120154.0,121248.0,4.724699974060059
2023-08-02,121249.0,121252.0,119798.0,120859.0,4.791999816894531
2023-08-03,120859.0,122619.0,120365.0,120586.0,4.810400009155273
2023-08-04,120586.0,121442.0,119215.0,119508.0,4.916399955749512
2023-08-07,119509.0,120104.0,118894.0,119380.0,4.88539981842041
2023-08-08,119378.0,119553.0,117492.0,119090.0,4.89900016784668
2023-08-09,119090.0,119090.0,117901.0,118409.0,4.898600101470947
2023-08-10,118412.0,119438.0,118113.0,118350.0,4.901700019836426
